observation_date,SPDYNLE00INUSA
1991-01-01,75.3658536585366
1992-01-01,75.6170731707317
1993-01-01,75.4195121951220
1994-01-01,75.6195121951220
1995-01-01,75.6219512195122
1996-01-01,76.0268292682927
1997-01-01,76.4292682926829
1998-01-01,76.5804878048781
1999-01-01,76.5829268292683
2000-01-01,76.6365853658537
2001-01-01,76.8365853658537
2002-01-01,76.9365853658537
2003-01-01,77.0365853658537
2004-01-01,77.4878048780488
2005-01-01,77.4878048780488
2006-01-01,77.6878048780488
2007-01-01,77.9878048780488
2008-01-01,78.0390243902439
2009-01-01,78.3902439024390
2010-01-01,78.5414634146342
2011-01-01,78.6414634146341
2012-01-01,78.7414634146342
2013-01-01,78.7414634146342
2014-01-01,78.8414634146341
2015-01-01,78.6902439024390
2016-01-01,78.5390243902439
2017-01-01,78.5390243902439
2018-01-01,78.6390243902439
2019-01-01,78.7878048780488
2020-01-01,76.9804878048781
2021-01-01,76.3292682926829
2022-01-01,77.4341463414634
2023-01-01,78.3853658536585
